Order Number,Agency / Party Name,Brand / Company Name,Salesperson Name,Product Name / SKU,Box Qty,Loose Pcs,Free Pcs,Unit Rate,Delivery Mode,Remarks
SO-2026-101,A One Electronics,PRIYAGOLD,Chirag Patel,Butter Gold 100g,15,0,1,120,F.O.R,Ring Road Route - Regular Store Stock
SO-2026-101,A One Electronics,PRIYAGOLD,Chirag Patel,Snackers 50g,10,0,1,85,F.O.R,Ring Road Route - Regular Store Stock
SO-2026-102,A One Electronics,ORION,Chirag Patel,Choco Pie 6P,20,0,2,95,F.O.R,Ring Road Route - Fast Moving Item
SO-2026-103,Shree Ram Agency,MOGU MOGU,Keyur.ASM,Lychee Nata De Coco 320ml,25,0,2,140,F.O.R,Varachha Textile Market Route
SO-2026-103,Shree Ram Agency,MOGU MOGU,Keyur.ASM,Mango Nata De Coco 320ml,25,0,2,140,F.O.R,Varachha Textile Market Route
SO-2026-104,Shree Ram Agency,PRIYAGOLD,Keyur.ASM,Chekkers Choco 120g,12,0,1,110,F.O.R,Varachha Mini Bazar Branch
SO-2026-105,Mahadev Trading Co,AKAI,Dharmik,Smart 4K LED TV 43 Inch,5,0,0,18500,F.O.R,A.K. Road Route - Pure FMCD Unit Dispatch
SO-2026-106,Mahadev Trading Co,GANDOUR,Dharmik,Safari Caramel Crisp 28g,30,0,3,75,F.O.R,A.K. Road Route - Wafer Chocolates
SO-2026-201,A One Mall,ORION,Nikhil,Custard Cupcake Vanilla 6P,40,0,4,110,F.O.R,Adajan Prime Commercial Hub
SO-2026-201,A One Mall,ORION,Nikhil,Choco Pie 12P Family Pack,30,0,2,180,F.O.R,Adajan Prime Commercial Hub
SO-2026-202,A One Mall,HELL,Nikhil,Energy Drink Classic 250ml Can,50,0,5,115,F.O.R,Adajan Prime Commercial Hub
SO-2026-203,A One Mall,WHIRLPOOL,Ashish,Inverter Refrigerator 240L,4,0,0,22500,F.O.R,Adajan Route - Home Appliances
SO-2026-204,Krishna Super Store,PRIYAGOLD,renuka.jay.sale,CNC Biscuits 75g,20,0,2,65,Self Pickup,Rander Road Route - Counter Pickup
SO-2026-205,Krishna Super Store,PRAN,renuka.jay.sale,Potata Spicy Crackers 100g,18,0,1,55,Self Pickup,Rander Road Route - Counter Pickup
SO-2026-206,Balaji Retail Mart,DAIKIN,Ankit,Triple Inverter Split AC 1.5T,6,0,0,36000,F.O.R,Pal Gam Route - Heavy Commercial AC
SO-2026-207,Balaji Retail Mart,WAIWAI,Ankit,1-2-3 Instant Noodles Masala,35,0,3,90,F.O.R,Pal Gam Route - Retail Pack
SO-2026-301,Om Sai Agency,CRUISE,Shailendra,Heavy Commercial Tower AC 2.0T,3,0,0,48000,F.O.R,Udhna Industrial Belt - Urgent Factory Handoff
SO-2026-302,Om Sai Agency,RCPL,Shailendra,Campa Cola Fizz 500ml Pet,45,0,4,45,F.O.R,Udhna Industrial Belt - Beverage Crate
SO-2026-303,Jay Ambe Enterprise,AKAI,Sanjay,Fully Automatic Washing Machine 7.5kg,8,0,0,14500,F.O.R,Sachin GIDC Route - Unit Based Logistics
SO-2026-304,Jay Ambe Enterprise,PRIYAGOLD,Sanjay,Butter Delight Family Pack,22,0,2,130,F.O.R,Sachin GIDC Route - Canteen Supply
